timestamp,host,cpu_percent,cpu_count,memory_total,memory_used,memory_available,memory_percent,disk_total,disk_used,disk_free,disk_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,uptime_seconds,top_process_pid,top_process_name,top_process_cpu_percent
2025-10-28T01:34:07.511599+00:00,DESKTOP-TS5DR19,49.8,4,8464728064,6967050240,1497677824,82.3,255375003648,234181943296,21193060352,91.7,37918181,296459314,102235,493407,119852,4468,aswToolsSvc.exe,16.6
2025-10-28T01:36:35.710703+00:00,DESKTOP-TS5DR19,27.6,4,8464728064,7405711360,1059016704,87.5,255375003648,234163077120,21211926528,91.7,38760708,299190776,103990,504603,120001,0,System Idle Process,358.4
2025-10-28T01:37:08.088491+00:00,DESKTOP-TS5DR19,84.4,4,8464728064,7484919808,979808256,88.4,255375003648,234164269056,21210734592,91.7,38829111,299532233,104300,505932,120033,0,System Idle Process,142.0
2025-10-28T01:37:15.107508+00:00,DESKTOP-TS5DR19,90.3,4,8464728064,7699644416,765083648,91.0,255375003648,234164162560,21210841088,91.7,38844793,299604194,104359,506285,120040,0,System Idle Process,186.4
2025-10-28T01:37:39.028421+00:00,DESKTOP-TS5DR19,17.8,4,8464728064,7385468928,1079259136,87.2,255375003648,234171789312,21203214336,91.7,38868019,299739299,104459,507031,120064,0,System Idle Process,387.0
2025-10-28T01:38:46.519069+00:00,DESKTOP-TS5DR19,28.4,4,8464728064,7432347648,1032380416,87.8,255375003648,234173526016,21201477632,91.7,38953781,300192732,104747,509712,120131,0,System Idle Process,282.6
2025-10-28T01:39:49.289166+00:00,DESKTOP-TS5DR19,21.0,4,8464728064,7237218304,1227509760,85.5,255375003648,234173607936,21201395712,91.7,39195165,300693648,105056,511946,120194,0,System Idle Process,286.7
2025-10-28T01:40:48.569921+00:00,DESKTOP-TS5DR19,73.5,4,8464728064,7369220096,1095507968,87.1,255375003648,234163089408,21211914240,91.7,39548164,301499110,105755,514408,120253,0,System Idle Process,0.0
2025-10-28T01:41:02.355585+00:00,DESKTOP-TS5DR19,0.0,4,8464728064,7661281280,803446784,90.5,255375003648,234162679808,21212323840,91.7,39855428,302178492,106594,515549,120266,0,System Idle Process,133.9
